,,,,Day 5,,,,,,,Day 8,,,,,,,,,,,,,,EOT,,,,,,,,,,,,,
10015-119,Voltage-gated potassium channel subunit beta-2,KCNAB2,Q13303,547.7,26.61735023,0.936430912,0.433816167,1.004217088,545.4,21.9,576.1666667,54.38862218,0.301758352,0.308537539,1.065692531,1.052183846,0.089584983,0.192077829,0.308537539,1.061178644,540.65,18.55,0.991523766,0.005801926,,,,,,,,,,,,,,
10021-1,Fc_MOUSE,nan,Q99LC4,920.4333333,43.78525881,0.071869629,0.202328381,1.051623346,875.25,6.15,1014.716667,96.01946707,0.394395616,0.433816167,1.042659953,1.10271166,0.095797722,0.854800831,0.433816167,0.991578177,973.2,13.9,1.112077379,0.02369526,,,,,,,,,,,,,,
10022-207,DNA polymerase eta,POLH,Q9Y253,219.7333333,43.03055762,0.115467993,0.202328381,1.20007282,183.1,1.4,238.65,41.45775963,0.074426626,0.121672505,1.233014725,1.091318307,0.067595633,0.678229529,0.202328381,1.031947027,193.55,9.55,1.057533264,0.060243291,,,,,,,,,,,,,,
10023-32,Vitamin D3 receptor,VDR,P11473,464.15,43.18582908,0.439090779,0.308537539,1.080172213,429.7,30,519.7333333,24.49364997,0.655546574,0.308537539,1.052304785,1.129765732,0.117985353,0.757902163,0.433816167,0.984116908,493.9,43.1,1.147999514,0.020153629,,,,,,,,,,,,,,
10024-44,4-hydroxy-2-oxoglutarate aldolase; mitochondrial,HOGA1,Q86XE5,690.3166667,69.80958427,0.576721668,0.433816167,0.693785595,995,389.1,777.9833333,77.40265751,0.561483038,0.433816167,0.636257071,1.128206167,0.050607262,0.503811239,0.121672505,0.940248507,1222.75,540.65,1.19990211,0.074138783,,,,,,,,,,,,,,
10025-1,Dihydrolipoyl dehydrogenase; mitochondrial,DLD,P09622,1760.916667,476.2753945,0.993850093,0.308537539,0.999016632,1762.65,22.75,1668.533333,384.1322327,0.413315388,0.308537539,0.91534319,0.958981373,0.097984808,0.200142434,0.202328381,0.92699061,1822.85,25.25,1.034510342,0.02767714,,,,,,,,,,,,,,
10030-8,Adenine DNA glycosylase,MUTYH,Q9UIF7,158.0833333,24.33895483,0.603659688,0.433816167,1.045179063,151.25,6.05,167.7,21.14789194,0.510587135,0.433816167,1.041614907,1.069320773,0.100738379,0.964704303,0.433816167,1.002856805,161,0.4,1.066274634,0.045295613,,,,,,,,,,,,,,
10034-16,Fc_MOUSE,nan,Q99LC4,2804.733333,390.2900318,0.430404321,0.202328381,1.138931752,2462.6,291.9,3126.916667,602.8966009,0.95380783,0.433816167,0.985460887,1.11629071,0.160349929,0.310226145,0.121672505,0.874333394,3173.05,617.05,1.276733473,0.099233127,,,,,,,,,,,,,,
10035-6,Dual specificity protein phosphatase 4,DUSP4,Q13115,543.9166667,35.08890692,0.761826605,0.433816167,1.016001992,535.35,19.85,586.05,36.14372929,0.879243665,0.433816167,0.985537711,1.080773409,0.078986762,0.639366482,0.433816167,0.974334441,594.65,44.05,1.109242744,0.04115351,,,,,,,,,,,,,,
10036-201,Zinc fingers and homeoboxes protein 3,ZHX3,Q9H4I2,2069.75,170.7825591,0.054208595,0.121672505,1.104662023,1873.65,29.75,2244.3,274.5101455,0.512930667,0.202328381,1.040496998,1.086117196,0.120190202,0.281265938,0.308537539,0.943373159,2156.95,21.25,1.151312379,0.006939153,,,,,,,,,,,,,,
10037-98,Sialic acid-binding Ig-like lectin 12:Ig-like V-type 2 domain; Isoform long,SIGLEC12,Q96PQ1,272.1166667,80.42946012,0.123893536,0.308537539,1.328694661,204.8,9.4,289.9333333,79.40679372,0.093831662,0.121672505,1.338565713,1.073989968,0.058396587,0.83499677,0.433816167,1.013234186,216.6,0.5,1.059962231,0.051092016,,,,,,,,,,,,,,
10039-32,Purine nucleoside phosphorylase,PNP,P00491,2760.816667,898.9637468,0.879788005,0.308537539,0.95669023,2885.8,608.5,6478.05,10195.98236,0.486317328,0.308537539,2.210749936,3.12759972,5.53305445,0.47815815,0.433816167,2.674140321,2930.25,1398.25,1.169572029,0.731143731,,,,,,,,,,,,,,
10040-63,Tumor protein 63,TP63,Q9H3D4,521.4666667,88.21276678,0.290277921,0.202328381,1.149491164,453.65,37.75,555.9,123.5125095,0.151711555,0.308537539,1.208741031,1.0591722,0.075505031,0.522190489,0.308537539,1.040990431,459.9,18.3,1.017465837,0.044327864,,,,,,,,,,,,,,
10041-3,Hepatocyte nuclear factor 4-alpha,HNF4A,P41235,36445.1,8412.000048,0.844682274,0.433816167,1.0646236,34232.85,8682.65,37195.18333,4862.110775,0.591572005,0.202328381,1.100947569,1.053193328,0.168239277,0.834435384,0.433816167,1.034210748,33784.7,4597.8,1.018354654,0.123980827,,,,,,,,,,,,,,
10042-8,Serine/threonine-protein kinase Sgk3,SGK3,Q96BR1,857.3833333,90.04170176,0.596803989,0.433816167,1.037178169,826.65,35.25,872.5666667,64.40754787,0.256826055,0.121672505,1.113535818,1.025620224,0.102064839,0.157797902,0.308537539,1.082756656,783.6,46.8,0.947230588,0.016222249,,,,,,,,,,,,,,
10043-31,Bromodomain-containing protein 4,BRD4,O60885,566.45,73.4917399,0.697684268,0.433816167,1.024692475,552.8,5,591.6,55.35825744,0.234479483,0.308537539,1.060595195,1.051825224,0.085008969,0.350108819,0.308537539,1.0422288,557.8,4.9,1.009207599,0.017992109,,,,,,,,,,,,,,
10044-12,Protein Wnt-10a,WNT10A,Q9GZT5,644.2833333,240.4056393,0.498269583,0.433816167,1.193780495,539.7,91.2,776.3666667,274.370277,0.40028151,0.433816167,1.214116298,1.371168675,0.628026269,0.555628454,0.433816167,1.150046696,639.45,84.95,1.192272175,0.044071192,,,,,,,,,,,,,,
10045-47,Cullin-3,CUL3,Q13618,991.9,262.3254976,0.420014378,0.308537539,1.195996865,829.35,128.45,1985.05,2332.443467,0.395645581,0.433816167,1.995626822,2.215421354,2.919657911,0.530018402,0.433816167,1.731580619,994.7,264.3,1.279421432,0.516840517,,,,,,,,,,,,,,
10046-55,Baculoviral IAP repeat-containing protein 2,BIRC2,Q13490,986.7333333,61.4726136,0.969356386,0.433816167,0.998061329,988.65,35.65,991.55,54.00236878,0.913089601,0.433816167,0.996933441,1.005544635,0.021233434,0.96554676,0.433816167,0.998649492,994.6,11.6,1.006904467,0.024575071,,,,,,,,,,,,,,
10047-12,Neutrophil cytosol factor 2,NCF2,P19878,485.4,140.3634687,0.494313712,0.433816167,1.107713373,438.2,14.8,500.8333333,131.8975823,0.552746729,0.433816167,1.083468542,1.040049948,0.118102083,0.863246498,0.308537539,0.983659883,462.25,16.05,1.057326791,0.072337829,,,,,,,,,,,,,,
10048-7,Core-binding factor subunit beta,CBFB,Q13951,984.75,26.2619338,0.712153575,0.433816167,0.969814851,1015.4,63.1,1056.05,59.67304668,0.63409076,0.202328381,0.953802384,1.07230569,0.050648492,0.509748845,0.202328381,0.983980713,1107.2,79.3,1.089762915,0.010376167,,,,,,,,,,,,,,
10049-112,Telomeric repeat-binding factor 1,TERF1,P54274,518.1166667,37.01645655,0.0937706,0.121672505,1.0734832,482.65,6.55,563.35,45.21569602,0.078710597,0.066807201,1.086604301,1.088001479,0.052148839,0.583806705,0.308537539,1.012825467,518.45,5.25,1.074224055,0.003700751,,,,,,,,,,,,,,
10053-5,Integrin-linked protein kinase,ILK,Q13418,8684.6,3613.605011,0.129554713,0.121672505,0.746577492,11632.55,314.55,1869.766667,398.9050416,0.638402171,0.433816167,0.663296558,0.234449856,0.055415171,0.945887758,0.433816167,0.953163597,2818.9,1489.2,0.245970216,0.13467124,,,,,,,,,,,,,,
10054-3,Gigaxonin,GAN,Q9H2C0,314.6833333,50.36015014,0.96824851,0.433816167,0.993632249,316.7,38.1,337.7833333,52.7787652,0.856784588,0.433816167,1.025294683,1.075311636,0.053719619,0.345643807,0.202328381,1.031371197,329.45,33.55,1.042603904,0.019492292,,,,,,,,,,,,,,
10056-5,Forkhead box protein M1,FOXM1,Q08050,849.5333333,139.470411,0.430605353,0.433816167,1.117512935,760.2,73.7,1033.95,879.9199258,0.318320312,0.308537539,1.781904352,1.28923135,1.237181802,0.441616484,0.433816167,1.636338251,580.25,134.75,0.787875825,0.253639106,,,,,,,,,,,,,,
10058-1,UV excision repair protein RAD23 homolog A,RAD23A,P54725,10417.03333,2709.912832,0.595915758,0.433816167,1.10897958,9393.35,1252.25,19328.96667,22988.57545,0.630589179,0.308537539,1.429731322,2.000759317,2.579783251,0.749357035,0.433816167,1.300317906,13519.3,5079,1.538669358,0.745825366,,,,,,,,,,,,,,
10063-10,E3 ubiquitin-protein ligase FANCL,FANCL,Q9NW38,381.4,28.62300939,0.498198274,0.121672505,0.469935929,811.6,427.9,403.7,21.41346928,0.50513499,0.308537539,0.449479486,1.061995803,0.068465988,0.782398949,0.308537539,0.98284428,898.15,502.55,1.080533127,0.049519314,,,,,,,,,,,,,,
10064-12,Putative hydrolase RBBP9,RBBP9,O75884,1141.1,41.28950633,0.042665997,0.121672505,1.046112945,1090.8,6.1,1170.883333,41.31934239,0.160299309,0.066807201,1.051439775,1.02701245,0.042450208,0.870245047,0.433816167,1.005839641,1113.6,22.6,1.021049885,0.02642868,,,,,,,,,,,,,,
10069-2,Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1,PIN1,Q13526,523.1,36.35441285,0.603091946,0.433816167,1.018100428,513.8,4.6,621.9166667,152.3106083,0.355431503,0.433422363,1.125641026,1.194097278,0.307166713,0.429826684,0.433816167,1.110290066,552.5,4.3,1.075482268,0.0179977,,,,,,,,,,,,,,
10070-22,1-phosphatidylinositol 4;5-bisphosphate phosphodiesterase gamma-2,PLCG2,P16885,968.3333333,166.6090901,0.837967111,0.308537539,1.01903008,950.25,40.05,718.7166667,89.46664959,0.701501479,0.308537539,1.06587078,0.754085225,0.107786647,0.80310513,0.308537539,1.055087686,674.3,86.6,0.714713322,0.121256794,,,,,,,,,,,,,,
10073-22,Tyrosyl-DNA phosphodiesterase 1,TDP1,Q9NUW8,823.7,97.60368845,0.483757324,0.121672505,0.795691654,1035.2,203.9,1019,337.7103739,0.929633675,0.433816167,0.970707311,1.249511324,0.444537881,0.280428993,0.202328381,1.245758045,1049.75,262.55,1.003012847,0.056062288,,,,,,,,,,,,,,
10074-128,Bromodomain-containing protein 2,BRD2,P25440,1395.883333,1391.982799,0.35737132,0.308537539,1.824803364,764.95,12.85,1595.6,1727.240908,0.35782801,0.433816167,1.963090551,1.088746864,0.070780235,0.651771874,0.433816167,1.025326754,812.8,45.5,1.061853561,0.041643482,,,,,,,,,,,,,,
10075-75,Acyl-CoA-binding domain-containing protein 6,ACBD6,Q9BR61,559.3666667,262.8590603,0.457297058,0.202328381,0.796534947,702.25,121.75,525.7333333,460.8350741,0.602967472,0.433816167,1.339277374,0.975005218,0.782686926,0.280658947,0.308537539,1.791622053,392.55,126.15,0.54420251,0.085287781,,,,,,,,,,,,,,
10076-1,AP-4 complex subunit mu-1,AP4M1,O00189,1312.716667,153.8852431,0.390975967,0.308537539,0.952832015,1377.7,9.3,1119.866667,134.6277048,0.470662759,0.433816167,1.045187985,0.860251555,0.114686019,0.181076037,0.202328381,1.105963911,1071.45,17.35,0.77782968,0.0178441,,,,,,,,,,,,,,
10078-5,BAG family molecular chaperone regulator 3,BAG3,O95817,687.6333333,66.35381593,0.239587956,0.433816167,1.061408248,647.85,4.05,734.9333333,60.93520238,0.441870851,0.308537539,1.044013543,1.07167914,0.059358952,0.739895644,0.433816167,0.986444904,703.95,23.95,1.08640547,0.030176828,,,,,,,,,,,,,,
10080-9,Translation initiation factor eIF-2B subunit alpha,EIF2B1,Q14232,718.1833333,239.8505258,0.70471362,0.433816167,1.067533754,672.75,39.15,711.4,533.7694977,0.352419515,0.308537539,1.593102676,1.081501418,0.927460223,0.413166928,0.433816167,1.600900615,446.55,109.85,0.675558126,0.20259844,,,,,,,,,,,,,,
10081-17,DNA-binding protein SATB2,SATB2,Q9UPW6,516.35,54.08193629,0.691847155,0.308537539,1.067279868,483.8,61.6,580.0333333,60.15659195,0.946273927,0.433816167,1.011039452,1.13065368,0.120035757,0.35223654,0.433816167,0.95357541,573.7,73.5,1.185699282,0.000952716,,,,,,,,,,,,,,
10082-251,Neurofilament light polypeptide,NEFL,P07196,901.2,895.0933303,0.309500352,0.308537539,2.00891663,448.6,1.5,915.5333333,870.2109125,0.291506682,0.121672505,2.004451742,1.042284667,0.109098441,0.654873528,0.433816167,1.023635916,456.75,5.25,1.018218149,0.015107729,,,,,,,,,,,,,,
10085-25,Steroidogenic acute regulatory protein; mitochondrial,STAR,P49675,1053.666667,88.05300802,0.770274993,0.433816167,1.035391998,1017.65,93.95,1019.65,77.96966825,0.849529751,0.433816167,1.026631091,0.974339724,0.108053807,0.998694286,0.433816167,0.999910373,993.2,108.6,0.974427059,0.01675682,,,,,,,,,,,,,,
10086-39,Cystathionine beta-synthase,CBS,P35520,1436.166667,365.7499404,0.182618587,0.308537539,1.242681203,1155.7,87.7,1430.85,395.0496161,0.20619089,0.308537539,1.220393194,0.995782195,0.0737615,0.744789798,0.308537539,0.977869023,1172.45,31.05,1.01831858,0.050408012,,,,,,,,,,,,,,
10087-10,Alpha-crystallin A chain,CRYAA,P02489,1855.7,3298.074739,0.354097436,0.202328381,5.30654847,349.7,23.7,1440.466667,2294.538661,0.347983364,0.033376508,3.809750507,1.028962833,0.160541484,0.628618215,0.308537539,0.946964351,378.1,2,1.086590886,0.079360034,,,,,,,,,,,,,,
10088-37,Adenine phosphoribosyltransferase,APRT,P07741,5225.95,2445.973645,0.923575089,0.308537539,1.022770863,5109.6,392.4,6773.3,9854.756322,0.524285678,0.433816167,1.890794891,1.709899036,2.817077406,0.486710017,0.433816167,2.340069696,3582.25,1684.15,0.73070432,0.385720678,,,,,,,,,,,,,,
10089-7,N-acetylserotonin O-methyltransferase-like protein,ASMTL,O95671,610.7666667,118.3372675,0.405116482,0.121672505,0.92687862,658.95,3.95,473.5333333,74.54481128,0.955274782,0.433816167,1.007196285,0.784119597,0.078972691,0.43320682,0.202328381,1.099565658,470.15,43.05,0.713117576,0.061056507,,,,,,,,,,,,,,
10336-3,E3 ubiquitin-protein ligase CHIP,STUB1,Q9UNE7,659.5833333,199.5183903,0.588273043,0.308537539,0.652374594,1011.05,467.85,524.3666667,212.9652919,0.65989242,0.433816167,0.630096932,0.818608935,0.318838197,0.762339138,0.433816167,1.100522847,832.2,521.2,0.743836384,0.171303247,,,,,,,,,,,,,,
10339-48,Gamma-enolase,ENO2,P09104,6862.883333,1052.146038,0.318030532,0.202328381,1.190202012,5766.15,692.95,6645.15,2586.430677,0.995551964,0.202328381,0.998962726,0.979700169,0.399051429,0.397743053,0.121672505,0.84065781,6652.05,243.35,1.165397094,0.097848984,,,,,,,,,,,,,,
10342-55,E3 SUMO-protein ligase PIAS4,PIAS4,Q8N2W9,341.7833333,66.08878918,0.691403424,0.308537539,1.102704737,309.95,59.55,395.8333333,71.50248636,0.571067979,0.202328381,1.142541011,1.185764375,0.253281059,0.590930044,0.433816167,1.058332711,346.45,62.45,1.120407943,0.013777361,,,,,,,,,,,,,,
10344-334,Interleukin-10 receptor subunit alpha,IL10RA,Q13651,2945.133333,344.0933966,0.948990953,0.433816167,1.012125482,2909.85,431.85,3217.833333,755.2183187,0.596870417,0.202328381,0.832255673,1.091387531,0.212994781,0.239216835,0.121672505,0.831748538,3866.4,891.5,1.312160444,0.111635827,,,,,,,,,,,,,,
10346-5,Signal transducer and activator of transcription 3,STAT3,P40763,17091.48333,6661.699476,0.525379391,0.308537539,0.893483123,19129.05,245.15,6243.05,1902.726677,0.90047798,0.433816167,0.939539189,0.394663189,0.122405555,0.797055607,0.433816167,1.130491889,6644.8,2512.4,0.349107493,0.135813525,,,,,,,,,,,,,,
10351-51,Interferon regulatory factor 1,IRF1,P10914,906.85,55.26191425,0.888222167,0.433816167,1.023763829,885.8,118.1,1197.283333,529.9449607,0.420726258,0.308537539,1.236288227,1.322176023,0.585146064,0.425431236,0.433816167,1.207430973,968.45,117.85,1.095032389,0.012952501,,,,,,,,,,,,,,
10354-57,Signal transducer and activator of transcription 3,STAT3,P40763,7573.75,7785.577755,0.380854823,0.433816167,1.793452522,4223,263.5,6684.15,10196.57241,0.34553954,0.433816167,3.465265177,0.634264025,0.268165424,0.3563364,0.202328381,1.368133594,1928.9,340.6,0.46359802,0.109580412,,,,,,,,,,,,,,
10356-21,Transcription factor AP-1,JUN,P05412,1269.566667,133.1759696,0.621038351,0.433816167,1.094123899,1160.35,162.15,1386.1,217.9816659,0.990910473,0.433816167,1.002422708,1.092429302,0.142649305,0.229130277,0.308537539,0.92005485,1382.75,228.35,1.187352365,0.030870698,,,,,,,,,,,,,,
10361-25,2'-5'-oligoadenylate synthase 1,OAS1,P00973,585.4833333,171.2897294,0.753185191,0.433816167,1.074971694,544.65,89.05,652.1666667,236.4567097,0.657444593,0.433816167,1.130075666,1.100922212,0.080565342,0.390930713,0.308537539,1.044198816,577.1,111.4,1.05432241,0.032153841,,,,,,,,,,,,,,
10362-35,Myc proto-oncogene protein,MYC,P01106,324.15,31.75944741,0.055491892,0.121672505,1.122403047,288.8,3.3,344.8166667,28.1220801,0.097403481,0.032566479,1.146713225,1.066018041,0.0398106,0.603747289,0.308537539,1.024226737,300.7,13.6,1.040802786,0.035198583,,,,,,,,,,,,,,
10363-13,Mothers against decapentaplegic homolog 3,SMAD3,P84022,4713.083333,1523.858711,0.947796162,0.308537539,1.010957386,4662,309.2,4288.416667,3090.399787,0.429100627,0.433816167,1.417424117,0.970044981,0.741411315,0.43320627,0.433816167,1.470297336,3025.5,554.5,0.659761095,0.162698012,,,,,,,,,,,,,,
10364-6,Mothers against decapentaplegic homolog 2,SMAD2,Q15796,3454.766667,1217.022447,0.64402093,0.308537539,0.926422018,3729.15,139.95,2822.3,2996.070433,0.591295596,0.433816167,1.43497051,0.880597114,0.961818936,0.495973045,0.433816167,1.645594344,1966.8,691.4,0.535124052,0.205486669,,,,,,,,,,,,,,
10365-132,Interleukin-23,IL12B|IL23A,P29460|Q9NPF7,897.2666667,130.6486595,0.274165275,0.308537539,1.106711892,810.75,39.85,922.8,78.02546593,0.655718002,0.308537539,1.051084914,1.04354123,0.120658423,0.596452784,0.433816167,0.965351267,877.95,74.25,1.080996385,0.038448713,,,,,,,,,,,,,,
10366-11,Platelet-derived growth factor receptor alpha,PDGFRA,P16234,1616.433333,1016.65168,0.255179666,0.308537539,1.566690897,1031.75,28.35,1836.05,1367.550596,0.259456217,0.121672505,1.737120961,1.098018876,0.141860306,0.538766643,0.308537539,1.069588697,1056.95,51.85,1.026580478,0.078462376,,,,,,,,,,,,,,
10367-62,Interleukin-12,IL12A|IL12B,P29459|P29460,184.4833333,9.607881603,0.884141193,0.5,0.993715773,185.65,5.75,196.6166667,8.172599886,0.640369703,0.308537539,1.025380269,1.067775611,0.057053349,0.734638219,0.308537539,1.031540915,191.75,7.65,1.035126766,0.073266786,,,,,,,,,,,,,,
10370-21,Signal transducer and activator of transcription 1-alpha/beta,STAT1,P42224,530.1833333,126.0922733,0.87471125,0.308537539,0.981730087,540.05,20.25,305.6833333,100.3934164,0.671968742,0.433816167,1.144667041,0.61328883,0.258662737,0.581237721,0.308537539,1.227271519,267.05,65.15,0.499717316,0.139374642,,,,,,,,,,,,,,
10372-18,Signal transducer and activator of transcription 6,STAT6,P42226,4346.15,836.5537953,0.50432929,0.308537539,0.940826929,4619.5,78.7,3343.016667,1588.912327,0.586324954,0.433816167,1.180277032,0.786516328,0.374854346,0.447048841,0.433816167,1.278439407,2832.4,514.5,0.615215961,0.121856802,,,,,,,,,,,,,,
10379-19,A disintegrin and metalloproteinase with thrombospondin motifs 1_MOUSE,Adamts1,P97857,1117.666667,262.5292724,0.922266155,0.308537539,0.986902134,1132.5,84.2,1150.4,192.5207088,0.905004462,0.433816167,0.979605739,1.044620229,0.095890187,0.880856176,0.433816167,1.011517179,1174.35,151.35,1.032726137,0.05686045,,,,,,,,,,,,,,
10382-1,Angiopoietin-related protein 3,ANGPTL3,Q9Y5C1,63355.21667,10241.82553,0.909139691,0.433816167,1.034204567,61259.85,14398.05,60425.16667,5594.929515,0.735922967,0.433816167,0.840783365,0.971527112,0.126019411,0.474470461,0.202328381,0.855032828,71867.7,25981.7,1.136245394,0.157068325,,,,,,,,,,,,,,
10390-21,E3 ubiquitin-protein ligase ZNRF3,ZNRF3,Q9ULT6,362.6333333,14.44537604,0.703013569,0.308537539,1.020639835,355.3,14.4,425.4166667,155.2983839,0.381552948,0.308537539,1.209257154,1.170273078,0.413030136,0.384438173,0.433816167,1.184792745,351.8,35.3,0.987744973,0.059320215,,,,,,,,,,,,,,
10391-1,Angiopoietin-related protein 3,ANGPTL3,Q9Y5C1,1762.716667,248.0607615,0.907913673,0.433816167,0.940040352,1875.15,770.15,1629.983333,299.77484,0.8413472,0.433816167,0.894833155,0.92578728,0.133262626,0.48465132,0.308537539,0.953679371,1821.55,750.65,0.970753177,0.001612906,,,,,,,,,,,,,,
10396-6,Induced myeloid leukemia cell differentiation protein Mcl-1,MCL1,Q07820,130.0333333,13.64058487,0.219049033,0.202328381,1.130233232,115.05,7.15,128.1666667,15.92122971,0.213067796,0.121672505,1.115462721,0.990016312,0.12274647,0.872624656,0.202328381,0.990533914,114.9,5.7,0.999477452,0.012570741,,,,,,,,,,,,,,
10398-110,Ankyrin repeat domain-containing protein 1,ANKRD1,Q15327,550.6666667,33.85531306,0.290600784,0.202328381,1.076151391,511.7,22.8,572.75,65.30203545,0.926716217,0.433816167,1.01031928,1.039023458,0.089452055,0.340717449,0.202328381,0.939497573,566.9,47.5,1.105935223,0.043550277,,,,,,,,,,,,,,
10416-79,Fc_MOUSE,nan,Q99LC4,1020.583333,77.10716388,0.856563211,0.308537539,1.022065328,998.55,94.65,1090.916667,150.4177451,0.63066706,0.308537539,0.908453734,1.069474076,0.129384474,0.19292444,0.121672505,0.893178001,1200.85,168.25,1.197380673,0.054997666,,,,,,,,,,,,,,
10418-36,Syntaxin-12,STX12,Q86Y82,2192.6,296.7009999,0.883755538,0.433816167,1.009530826,2171.9,24.7,1690.633333,306.9737484,0.684800586,0.308537539,1.036244765,0.772283809,0.093227464,0.645657832,0.308537539,1.027911308,1631.5,5.9,0.751313662,0.011260853,,,,,,,,,,,,,,
10419-1,Scavenger receptor class A member 5,SCARA5,Q6ZMJ2,6346.633333,2418.803167,0.361613447,0.202328381,1.351224376,4696.95,1114.55,6451.833333,1613.524873,0.273560815,0.202328381,1.2978814,1.05790925,0.139075849,0.862494731,0.433816167,0.981688465,4971.05,819.35,1.077642539,0.081273271,,,,,,,,,,,,,,
10420-30,Fas apoptotic inhibitory molecule 1,FAIM,Q9NVQ4,632.5833333,112.1113497,0.438509475,0.308537539,1.280662685,493.95,119.95,677.6333333,93.08329006,0.465346521,0.202328381,1.215922005,1.101056353,0.213756787,0.727917312,0.433816167,0.965420172,557.3,111.9,1.140494454,0.050414637,,,,,,,,,,,,,,
10424-31,Neural proliferation differentiation and control protein 1,NPDC1,Q9NQX5,419.3833333,10.78508487,0.005702819,0.033376508,1.055185139,397.45,0.85,451.5666667,40.79598292,0.934641941,0.433816167,1.006725374,1.077530087,0.100577188,0.605027751,0.433816167,0.954647526,448.55,27.05,1.128720347,0.070472795,,,,,,,,,,,,,,
10425-3,Beta-1;4-galactosyltransferase 5,B4GALT5,O43286,785.3833333,60.59448316,0.681335822,0.308537539,0.983943039,798.2,12.2,839.3166667,41.847637,0.988523982,0.433816167,0.999245987,1.074795931,0.097373463,0.667710434,0.308537539,1.021754293,839.95,33.35,1.051912322,0.02570367,,,,,,,,,,,,,,
